,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
30-09-2023,0,15550061000,15550061000,81123000000,1.2393E+11,62146000000,1.73234E+11,-1742000000,62146000000,12842000000,62146000000,1.57427E+11,62146000000,62146000000,-11452000000,-11452000000,-214000000,73812000000,73812000000,2.90437E+11,1.45129E+11,23124000000,15457000000,1.06548E+11,11267000000,95281000000,1.45308E+11,48435000000,8061000000,8061000000,17382000000,1575000000,15807000000,9822000000,5985000000,71430000000,71430000000,8819000000,8819000000,62611000000,3.52583E+11,2.09017E+11,36245000000,17852000000,17852000000,1.00544E+11,,1.00544E+11,1.00544E+11,54376000000,-70884000000,1.2526E+11,12839000000,10661000000,78314000000,23446000000,0,1.43566E+11,14695000000,6331000000,60985000000,31477000000,29508000000,61555000000,31590000000,29965000000,1606000000,28359000000
30-09-2022,,15943425000,15943425000,96423000000,1.3248E+11,50672000000,1.70741E+11,-18577000000,50672000000,12411000000,50672000000,1.49631E+11,50672000000,50672000000,-11109000000,-11109000000,-3068000000,64849000000,64849000000,3.02083E+11,1.48101E+11,21737000000,16657000000,1.09707E+11,10748000000,98959000000,1.53982E+11,52630000000,7912000000,7912000000,22773000000,1663000000,21110000000,11128000000,9982000000,70667000000,70667000000,6552000000,6552000000,64115000000,3.52755E+11,2.1735E+11,28636000000,15375000000,15375000000,1.20805E+11,1.20805E+11,1.20805E+11,1.20805E+11,52534000000,-72340000000,1.24874E+11,11271000000,10417000000,81060000000,22126000000,0,1.35405E+11,21223000000,4946000000,60932000000,32748000000,28184000000,48304000000,24658000000,23646000000,5100000000,18546000000
30-09-2021,,16426786000,16426786000,89779000000,1.36522E+11,63090000000,1.87809E+11,9355000000,63090000000,11803000000,63090000000,1.72196E+11,63090000000,63090000000,163000000,163000000,5562000000,57365000000,57365000000,2.87912E+11,1.62431E+11,18361000000,24689000000,1.19381E+11,10275000000,1.09106E+11,1.25481E+11,45965000000,7612000000,7612000000,17141000000,1528000000,15613000000,9613000000,6000000000,54763000000,54763000000,,,54763000000,3.51002E+11,2.16166E+11,38762000000,,,1.27877E+11,1.27877E+11,1.27877E+11,1.27877E+11,49527000000,-70283000000,1.1981E+11,11023000000,10087000000,78659000000,20041000000,0,1.34836E+11,14111000000,6580000000,51506000000,25228000000,26278000000,62639000000,27699000000,34940000000,17635000000,17305000000
30-09-2020,,16976763000,16976763000,74420000000,1.22278E+11,65339000000,1.77775E+11,38321000000,65339000000,9842000000,65339000000,1.64006E+11,65339000000,65339000000,-406000000,-406000000,14966000000,50779000000,50779000000,2.58549E+11,1.53157E+11,17938000000,28170000000,1.07049E+11,8382000000,98667000000,1.05392E+11,41224000000,6643000000,6643000000,15229000000,1460000000,13769000000,8773000000,4996000000,42296000000,42296000000,,,42296000000,3.23888E+11,1.80175E+11,33952000000,,,1.00887E+11,1.00887E+11,1.00887E+11,1.00887E+11,45336000000,-66760000000,1.12096E+11,10283000000,8570000000,75291000000,17952000000,0,1.43713E+11,11264000000,4061000000,37445000000,21325000000,16120000000,90943000000,52927000000,38016000000,20243000000,17773000000
30-09-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05341E+11,,,,,,,,,,,,,,,,,,,,,
